STATE,Gov.,,,,,,,,,,,,,
Alabama,Rep,,,,,,,,,,,,,
Alaska,Rep,,,,,,,,,,,,,
Arizona,Rep,,,,,,,,,,,,,
Arkansas,Rep,,,,,,,,,,,,,
California,Dem,,,,,,,,,,,,,
Colorado,Dem,,,,,,,,,,,,,
Connecticut,Dem,,,,,,,,,,,,,
Delaware,Dem,,,,,,,,,,,,,
Florida,Rep,,,,,,,,,,,,,
Georgia,Rep,,,,,,,,,,,,,
Hawaii,Dem,,,,,,,,,,,,,
Idaho,Rep,,,,,,,,,,,,,
Illinois,Dem,,,,,,,,,,,,,
Indiana,Rep,,,,,,,,,,,,,
Iowa,Rep,,,,,,,,,,,,,
Kansas,Dem,,,,,,,,,,,,,
Kentucky,Dem,,,,,,,,,,,,,
Louisiana,Dem,,,,,,,,,,,,,
Maine,Dem,,,,,,,,,,,,,
Maryland,Rep,,,,,,,,,,,,,
Massachusetts,Rep,,,,,,,,,,,,,
Michigan,Dem,,,,,,,,,,,,,
Minnesota,Dem,,,,,,,,,,,,,
Mississippi,Rep,,,,,,,,,,,,,
Missouri,Rep,,,,,,,,,,,,,
Montana,Dem,,,,,,,,,,,,,
Nebraska,Rep,,,,,,,,,,,,,
Nevada,Dem,,,,,,,,,,,,,
New Hampshire,Rep,,,,,,,,,,,,,
New Jersey,Dem,,,,,,,,,,,,,
New Mexico,Dem,,,,,,,,,,,,,
New York,Dem,,,,,,,,,,,,,
North Carolina,Dem,,,,,,,,,,,,,
North Dakota,Rep,,,,,,,,,,,,,
Ohio,Rep,,,,,,,,,,,,,
Oklahoma,Rep,,,,,,,,,,,,,
Oregon,Dem,,,,,,,,,,,,,
Pennsylvania,Dem,,,,,,,,,,,,,
Rhode Island,Dem,,,,,,,,,,,,,
South Carolina,Rep,,,,,,,,,,,,,
South Dakota,Rep,,,,,,,,,,,,,
Tennessee,Rep,,,,,,,,,,,,,
Texas,Rep,,,,,,,,,,,,,
Utah,Rep,,,,,,,,,,,,,
Vermont,Rep,,,,,,,,,,,,,
Virginia,Dem,,,,,,,,,,,,,
Washington,Dem,,,,,,,,,,,,,
West Virginia,Rep,,,,,,,,,,,,,
Wisconsin,Dem,,,,,,,,,,,,,
Wyoming,Rep,,,,,,,,,,,,,
Total States,"26R, 24D",,,,,,,,,,,,,
Republican ,26,,,,,,,,,,,,,
Democrat,24,,,,,,,,,,,,,
Divided,,,,,,,,,,,,,,
U.S.,Gov.,,,,,,,,,,,,,
Territories,Party,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,
Mariana,Rep,,,,,,,,,,,,,
Puerto,NPP,NPP,,,,,,,,,,,,
Virgin,,,,,,,,,,,,,,
National Conference of State Legislatures,Progressive,Popular,Democratic,Party),,,,,,,,,,
