"","stateFIPS","population","state_po","vote_pct","democrat","total_deaths","total_cases","total_cases_pc","total_deaths_pc"
"1",1,4903185,"AL",-0.620830923644091,0,2457,144164,0.0294021131162703,0.000501102854573099
"2",2,731545,"AK",-0.512815120775373,0,45,6743,0.00921747807722013,6.15136457770882e-05
"3",4,7278717,"AZ",-0.48671616472321,0,5498,213551,0.0293390991846503,0.000755352900792818
"4",5,3017804,"AR",-0.605741021638283,0,1209,75160,0.0249055273304694,0.000400622439363193
"5",6,39512223,"CA",0.617263996045579,1,15203,783849,0.019838139706794,0.000384767012476114
"6",8,5758736,"CO",0.481569803828474,1,2025,64356,0.011175369039317,0.000351639665371012
"7",9,3565287,"CT",0.545663010967099,1,4496,55527,0.0155743422619273,0.00126104854952771
"8",10,973764,"DE",0.533533368056342,1,628,19449,0.0199730119412917,0.000644920124383321
"9",11,705749,"DC",0.904838838678717,1,621,14902,0.0211151556714923,0.000879916230841276
"10",12,21477737,"FL",-0.490219414165907,0,13416,681233,0.0317180995372092,0.000624646814513093
"11",13,10617423,"GA",-0.50771326054771,0,6677,305021,0.0287283458519078,0.000628871996528724
"12",15,1415872,"HI",0.60980798055129,1,120,11326,0.00799931067215115,8.47534240383311e-05
"13",16,1787065,"ID",-0.592614323691969,0,451,37247,0.0208425546916313,0.000252369108006704
"14",17,12671821,"IL",0.558253666987933,1,8486,272843,0.0215314752315393,0.000669674863620627
"15",18,6732219,"IN",-0.569400334484113,0,3520,113181,0.0168118416825121,0.000522858807771999
"16",19,3155070,"IA",-0.511620613446774,0,1285,79128,0.0250796337323736,0.000407280979502832
"17",20,2913314,"KS",-0.566545818058396,0,607,52684,0.0180838728678062,0.000208353785414137
"18",21,4467673,"KY",-0.625196385519001,0,1119,61106,0.0136773662709872,0.000250465958453092
"19",22,4648794,"LA",-0.580886846535688,0,5218,160283,0.0344784045066312,0.00112244164830707
"20",23,1344212,"ME",0.46345214097309,1,140,5035,0.00374568892406852,0.000104150238206473
"21",24,6045680,"MD",0.301642742659753,1,3949,119744,0.0198065395455929,0.000653193685408424
"22",25,6892503,"MA",0.590500650966713,1,9328,134240,0.0194762338152047,0.00135335450706369
"23",26,9986857,"MI",-0.474975642199961,0,6997,128087,0.0128255566290776,0.000700620825951548
"24",27,5639632,"MN",0.46445033961767,1,1979,88721,0.0157317002244118,0.000350909421040238
"25",28,2976149,"MS",-0.579410380888356,0,2846,93087,0.0312776678855797,0.000956269326569335
"26",29,6137428,"MO",-0.567723478381617,0,1864,111473,0.0181628199956073,0.000303710283851802
"27",30,1068778,"MT",-0.564661918685772,0,165,10163,0.00950899064164869,0.000154381920286533
"28",31,1934408,"NE",-0.587473511271258,0,460,40605,0.0209909181517033,0.000237798851121377
"29",32,3080156,"NV",0.47917823678119,1,1531,75390,0.0244760330320932,0.000497052746679064
"30",33,1359711,"NH",0.468262626696906,1,438,7861,0.00578137560113877,0.000322127275575472
"31",34,8882190,"NJ",0.554530844496942,1,16076,199309,0.0224391732219194,0.00180991399643556
"32",35,2096829,"NM",0.482556471786341,1,854,27512,0.0131207647357033,0.000407281661976251
"33",36,19453561,"NY",0.56136142599849,1,32796,449107,0.023086107474102,0.00168586101022841
"34",37,10488084,"NC",-0.498280946961804,0,3286,193413,0.0184412138575549,0.000313307940706806
"35",38,762062,"ND",-0.629556278313393,0,196,17607,0.0231044193254617,0.000257196920985432
"36",39,11689100,"OH",-0.516876506757862,0,4635,143548,0.0122805006373459,0.000396523256709242
"37",40,3956971,"OK",-0.653228648196274,0,962,75804,0.0191570774716317,0.000243115251539625
"38",41,4217737,"OR",0.500718520028621,1,532,30599,0.00725483831732514,0.000126133990810712
"39",42,12801989,"PA",-0.48577885803746,0,8023,149845,0.0117048218054241,0.000626699491774286
"40",44,1059361,"RI",0.544066065703747,1,1055,22376,0.0211221670422075,0.000995883367426213
"41",45,5148714,"SC",-0.549393326856954,0,3243,137240,0.0266551997256014,0.000629866020913183
"42",46,884659,"SD",-0.615307503789588,0,202,18444,0.0208487111983261,0.000228336568101381
"43",47,6829174,"TN",-0.607220336942146,0,2261,181439,0.0265682204026431,0.000331079571262938
"44",48,28995881,"TX",-0.522346855793354,0,14989,696491,0.0240203427514411,0.000516935491630691
"45",49,3205958,"UT",-0.455408165881004,0,443,62844,0.019602253055093,0.000138180225692289
"46",50,623989,"VT",0.557227421232139,1,58,1710,0.00274043292429835,9.2950356496669e-05
"47",51,8535519,"VA",0.497513528334177,1,3060,139655,0.0163616295623031,0.000358501925893434
"48",53,7614893,"WA",0.525386800618266,1,2070,82199,0.0107945049260705,0.000271835730324773
"49",54,1792147,"WV",-0.686305748116194,0,317,13874,0.00774155245077552,0.00017688281151044
"50",55,5822434,"WI",-0.472181845673101,0,1251,105557,0.0181293596458114,0.000214858596937295
"51",56,578759,"WY",-0.673984110546084,0,49,4780,0.00825905083117498,8.46639101940531e-05
